DATAFLOW;LAST UPDATE;freq;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2018;38343;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2019;39373;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2020;37904;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;AT;2021;40045;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2018;36030;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2019;37253;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2020;36154;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BE;2021;39456;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2018;15141;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2019;16172;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2020;16022;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;BG;2021;18195;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CY;2018;26643;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CY;2019;27544;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CY;2020;25271;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CY;2021;27015;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CZ;2018;26445;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CZ;2019;27473;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CZ;2020;26694;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;CZ;2021;28445;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DE;2018;38791;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DE;2019;39222;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DE;2020;38152;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DE;2021;40459;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DK;2018;40298;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DK;2019;40893;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DK;2020;41368;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;DK;2021;44787;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EE;2018;24282;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EE;2019;25346;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EE;2020;25603;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EE;2021;28409;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EL;2018;19914;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EL;2019;20415;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EL;2020;18555;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EL;2021;20633;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;ES;2018;27763;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;ES;2019;28572;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;ES;2020;24992;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;ES;2021;27211;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EU27_2020;2018;30445;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EU27_2020;2019;31410;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EU27_2020;2020;30089;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;EU27_2020;2021;32617;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FI;2018;33838;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FI;2019;34431;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FI;2020;34894;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FI;2021;37049;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FR;2018;32369;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FR;2019;34052;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FR;2020;32029;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;FR;2021;35037;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HR;2018;19515;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HR;2019;20835;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HR;2020;19890;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HR;2021;22746;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HU;2018;20844;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HU;2019;22299;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HU;2020;21883;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;HU;2021;23613;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IE;2018;44722;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IE;2019;46143;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IE;2020;46450;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IE;2021;53896;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IT;2018;29851;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IT;2019;30539;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IT;2020;28656;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;IT;2021;31493;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LT;2018;23964;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LT;2019;25496;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LT;2020;25573;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LT;2021;27921;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LU;2018;56535;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LU;2019;53089;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LU;2020;54326;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LU;2021;60917;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LV;2018;20670;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LV;2019;21463;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LV;2020;21655;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;LV;2021;22934;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;MT;2018;28743;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;MT;2019;29885;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;MT;2020;26737;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;MT;2021;30388;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;NL;2018;39147;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;NL;2019;38982;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;NL;2020;38044;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;NL;2021;41252;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PL;2018;20605;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PL;2019;21901;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PL;2020;22014;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PL;2021;23876;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PT;2018;23167;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PT;2019;24022;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PT;2020;22579;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;PT;2021;24109;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;RO;2018;19719;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;RO;2019;21518;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;RO;2020;21525;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;RO;2021;23548;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SE;2018;37091;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SE;2019;38387;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SE;2020;38124;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SE;2021;41023;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SI;2018;25998;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SI;2019;27257;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SI;2020;26538;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SI;2021;28706;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SK;2018;20994;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SK;2019;21594;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SK;2020;21327;
ESTAT:NAMA_10_PP(1.0);16.12.2022 23:00;A;CP_PPS_EU27_2020_HAB;SK;2021;22280;
